,Unnamed: 0,lyrics,genre
0,0,"Eat a lot, sleep a lot, brush 'em like crazy",Rock
1,1,"Run a lot, do a lot, never be lazy",Rock
2,2,(Good boy),Rock
3,3,"Eat a lot, sleep a lot, brush 'em like crazy",Rock
4,4,"Run a lot, do a lot, never be lazy",Rock
5,5,"Eat a lot, sleep a lot, brush 'em like crazy",Rock
6,6,"Run a lot, do a lot, never be lazy",Rock
7,7,"Eat a lot, sleep a lot, brush 'em like crazy",Rock
8,8,"Run a lot, do a lot, never be lazy, never be lazy, be lazy",Rock
9,9,You got real street niggas that ride on your side,Hip-Hop
10,10,"They know the code, it's either do it or die",Hip-Hop
11,11,"I got real street niggas that ride on my side, what",Hip-Hop
12,12,"They know the code, either do it or die",Hip-Hop
13,13,You got rich street niggas that ride on your side,Hip-Hop
14,14,"They know the code, it's either do it or die",Hip-Hop
15,15,So what the world gon' tell us,Hip-Hop
16,16,"Me and mine too strong and rebellious, the petties stay jealous",Hip-Hop
17,17,"Find me in the dusty cellars, writing",Hip-Hop
18,18,"To feed the 5,000 fellas, hustlers and street dwellers",Hip-Hop
19,19,"Heather be devoted, quote it",Hip-Hop
20,20,I feed the desperate and demoted,Hip-Hop
21,21,"Want passion? I'm loaded the truth, I uphold it",Hip-Hop
22,22,"Wisdom, I tote it",Hip-Hop
23,23,"Bet that outdoes me, Heather be self promoted",Hip-Hop
24,24,"I know thieves, thugs and crooks",Hip-Hop
25,25,We be ridin' and I don't care how it look,Hip-Hop
26,26,You better take it easy 'fore you get that took,Hip-Hop
27,27,"Yo my mans and them be off the hook, PA",Hip-Hop
28,28,My peoples be's behind me so I fears nobody,Hip-Hop
29,29,"Foxxx push the Navie, while I'm ridin' shotty",Hip-Hop
30,30,"The last nigga that tried me, what, he came apart",Hip-Hop
31,31,He dropped mine and they took his heart so don't start,Hip-Hop
32,32,"You got real street niggas that ride on your side, what",Hip-Hop
33,33,"They know the code, either do it or die",Hip-Hop
34,34,I got real street niggas that ride on my side,Hip-Hop
35,35,"They know the code, it's either do it or die",Hip-Hop
36,36,"Who got real street niggas that ride on they side, huh",Hip-Hop
37,37,"They know the code, it's either do it or die",Hip-Hop
38,38,"You got real street niggas that ride on your side, huh",Hip-Hop
39,39,"They know the code, either do it or die",Hip-Hop
40,40,My walk through life is iller than most niggas that carry toast,Hip-Hop
41,41,"I'm ya emcee, lyrical host",Hip-Hop
42,42,Stretch a nigga if he stand too close,Hip-Hop
43,43,My niggas know who the boss is,Hip-Hop
44,44,The 240 pound bald-headed killer that don't know what a loss is,Hip-Hop
45,45,We like black Yukons and Navigators,Hip-Hop
46,46,Real street agrivators and we'll kill you in a suit and gators,Hip-Hop
47,47,"Don't get it fucked up, niggas'll run you like plays",Hip-Hop
48,48,And cut you like 'Back in the days',Hip-Hop
49,49,"I got real street niggas that ride, right or wrong",Hip-Hop
50,50,"They always on my side, so bring it on",Hip-Hop
51,51,"Take ya picture, then we come and get'cha, ya little bitcha",Hip-Hop
52,52,We bust ya with them four pound shells,Hip-Hop
53,53,That split'cha when they hit'cha,Hip-Hop
54,54,My unpredictable style of emceein',Hip-Hop
55,55,Kinda reflects the unpredictable zone a nigga be in,Hip-Hop
56,56,My niggas seein' what I'm seein',Hip-Hop
57,57,Bustin' out the back window when we fleein',Hip-Hop
58,58,"We heard your radio record, you bitch nigga",Hip-Hop
59,59,Now we sittin' back waitin' to rob this fake rich nigga,Hip-Hop
60,60,"Biters and snitch niggas, get put in PC like lyrical police",Hip-Hop
61,61,Stay the fuck away from me,Hip-Hop
62,62,I'd rather bounce to Jerse' and rock with Heather be,Hip-Hop
63,63,Then fuck with fake ass niggas that ain't like me,Hip-Hop
64,64,"You got real street niggas that ride on your side, huh",Hip-Hop
65,65,"They know the code, either do it or die",Hip-Hop
66,66,You got real street niggas that ride on your side baby,Hip-Hop
67,67,"They know the code, it's either do it or die",Hip-Hop
68,68,"We got real street niggas that ride on our side, huh",Hip-Hop
69,69,"They know the code, it's either do it or die",Hip-Hop
70,70,"We got real street niggas that ride on our side, huh",Hip-Hop
71,71,"They know the code, it's either do it or die, what",Hip-Hop
72,72,See the stone set in your eyes,Rock
73,73,See the thorn twist in your side,Rock
74,74,And I wait for you,Rock
75,75,Sleight of hand and twist of fate,Rock
76,76,On a bed of nails she makes me wait,Rock
77,77,And I wait without you,Rock
78,78,With or without you,Rock
79,79,With or without you,Rock
80,80,Through the storm we reach the shore,Rock
81,81,You give it all but I want more,Rock
82,82,And I'm waiting for you,Rock
83,83,With or without you,Rock
84,84,With or without you,Rock
85,85,I can't live,Rock
86,86,With or without you,Rock
87,87,And you give yourself away,Rock
88,88,And you give yourself away,Rock
89,89,"And you give, and you give",Rock
90,90,And you give yourself away,Rock
91,91,"My hands are tied, my body bruised",Rock
92,92,You scarred me with nothing to win,Rock
93,93,And nothing left to lose,Rock
94,94,And you give yourself away,Rock
95,95,And you give yourself away,Rock
96,96,"And you give, and you give",Rock
97,97,And you give yourself away,Rock
98,98,With or without you,Rock
99,99,With or without you,Rock
100,100,I can't live,Rock
101,101,With or without you,Rock
102,102,"Ohhh, ohhh",Rock
103,103,With or without you,Rock
104,104,With or without you,Rock
105,105,I can't live,Rock
106,106,With or without you,Rock
107,107,I can't live,Rock
108,108,With or without you,Rock
109,109,I can't live,Rock
110,110,With or without you,Rock
111,111,"It's too much, not enough",Rock
112,112,What you need I don't get,Rock
113,113,"I don't know why you never say, you never do",Rock
114,114,Is this my luck again,Rock
115,115,Silent words never shed,Rock
116,116,All I get is you turning away,Rock
117,117,You turn,Rock
118,118,So cold,Rock
119,119,It's never enough it's,Rock
120,120,always too much,Rock
121,121,For what you never say,Rock
122,122,What you never go and say,Rock
123,123,You're so cold,Rock
124,124,It's never enough it's,Rock
125,125,always too much,Rock
126,126,What you never say,Rock
127,127,Never do,Rock
128,128,Never say,Rock
129,129,Is it me that you see changing,Rock
130,130,What you think you need,Rock
131,131,All I can say is I'll always,Rock
132,132,trade me for you,Rock
133,133,Is it my heart I break,Rock
134,134,Hard to give what you won't take,Rock
135,135,If you did would you throw it away,Rock
136,136,And turn,Rock
137,137,So cold,Rock
138,138,Our time is slipping away,Rock
139,139,Slipping away,Rock
140,140,Isn't my word enough,Rock
141,141,What I say is what you get,Rock
142,142,And all I get is you turning away,Rock
143,143,You turn,Rock
144,144,So cold,Rock
145,145,Our time is slipping away,Rock
146,146,Slipping away,Rock
147,147,I guess it's liver again.,Rock
148,148,Can't you make some pork?,Rock
149,149,Have you heard of this animal called a pig ?,Rock
150,150,Watcha do to this pudding ?,Rock
151,151,My ulcer's starting to bleed.,Rock
152,152,"This sludge's obscene - quick, get my gun!",Rock
153,153,I-I-I-I want that filth off my screen.,Rock
154,154,Degenerate game show pornography.,Rock
155,155,Mr. John Birch is having troubles,Rock
156,156,fulfilling his marital obligations.,Rock
157,157,God you're getting fat!,Rock
158,158,Can't you suck in that gut ?,Rock
159,159,"Change the channel too, I wanna watch the news.",Rock
160,160,"She threw the baby out the window,",Rock
161,161,pervert on angel dust.,Rock
162,162,Liberal New York faggot scum atheist.,Rock
163,163,I-I-I-I sometimes dream:,Rock
164,164,"I'm a dressed girl,",Rock
165,165,"with Ho Chi Minh,",Rock
166,166,in the prison yard.,Rock
167,167,Balls and chain.,Rock
168,168,Balls and chain.,Rock
169,169,Mad dogs on a bone.,Rock
170,170,Every time I hear a fiddle and it's cookin' just a little,Rock
171,171,"Well, it makes me want to jump up and run",Rock
172,172,And if he's sawing with some soul boogie woogie rock 'n' roll,Rock
173,173,"Well, I know I'm gonna have some fun",Rock
174,174,And when the rosin' starts to fly and I'm lookin' in the eye,Rock
175,175,Like I'm just about to blow a fuse,Rock
176,176,"Mama, call the doctor 'cause your boy has got",Rock
177,177,The rocking boogie woogie fiddle country blues,Rock
178,178,"I met a man from Tennessee, this is what he said to me",Rock
179,179,"He said, ""Music is a rhapsody""",Rock
180,180,"He picked up his violin, stuck it underneath his chin",Rock
181,181,And started playing me a symphony,Rock
182,182,"I said, ""That ain't the way it's done, let me see that fiddle son",Rock
183,183,"And I sawed him off a chorus or two""",Rock
184,184,"He said, ""You'd better call the doctor 'cause I think I've got",Rock
185,185,"The rocking boogie woogie fiddle country blues""",Rock
186,186,Now if you want to play me some fiddle,Rock
187,187,I'll tell you right from the start,Rock
188,188,You'd better play me something lowdown hoedown honking,Rock
189,189,I don't want to hear no funeral march,Rock
190,190,It's got to pick me up and roll me over,Rock
191,191,It's got to make me want to jump up and sing,Rock
192,192,"If it ain't buzzing like a beehive, kick it into overdrive",Rock
193,193,Or it don't mean a doggone thing,Rock
194,194,So let me rosin' up my bow and I think that I can show you,Rock
195,195,The way I like to play this thing,Rock
196,196,"Let's put some boogie rhythm in it, kick it on up to the limit",Rock
197,197,I'm gonna put some fire on these strings,Rock
198,198,And if you feel your feet start moving to the beat,Rock
199,199,And you feel like you've got ants in your shoes,Rock
200,200,Well you'd better call the doctor 'cause you've probably got,Rock
201,201,The rocking boogie woogie fiddle country blues,Rock
202,202,I dance with a million devils,Rock
203,203,Die from a lie for sin,Rock
204,204,Made love to a million angels,Rock
205,205,Murder a million men,Rock
206,206,They will be blood,Rock
207,207,May will be blood,Rock
208,208,They will be blood,Rock
209,209,May will be blood,Rock
210,210,"My girl wakes in her bed of night,",Rock
211,211,"Dressed in silver and dressed in white,",Rock
212,212,"She says she's having the strangest dreams,",Rock
213,213,Of another time and century;,Rock
214,214,"And now she speaks of a far-off place,",Rock
215,215,"A woman and a man are in a deep embrace,",Rock
216,216,"Don't they know it's against the law,",Rock
217,217,"Well it must have been before the war,",Rock
218,218,Long before; it was,Rock
219,219,"Real love and devotion, with sight and touch,",Rock
220,220,"Real love and emotion, with sight and touch,",Rock
221,221,"Real love and devotion, before the modern world;",Rock
222,222,"She hears voices in her mind,",Rock
223,223,"Talking of another world lost in time,",Rock
224,224,"Before they took away the words,",Rock
225,225,"That told us how we used to be,",Rock
226,226,Our history; words of,Rock
